GO_ID	p_value
GO:1903047	1.42738485324493e-21
GO:0009615	3.3257911179964e-20
GO:0016032	1.10749602710559e-18
GO:0051607	9.78922619346014e-18
GO:0019058	6.55578584165963e-17
GO:0140014	1.95781735854415e-13
GO:0050792	3.01815888506514e-13
GO:1903900	1.23306423635998e-12
GO:0044770	1.23306423635998e-12
GO:0010564	1.23306423635998e-12
GO:0007051	1.23306423635998e-12
GO:0002831	1.8696597604252e-12
GO:0048525	2.53023860366391e-12
GO:0051276	3.61666011076975e-12
GO:0007059	3.61666011076975e-12
GO:0000070	3.61666011076975e-12
GO:0002252	7.55658533925126e-12
GO:0042110	1.13889885963632e-11
GO:0044772	1.47284506108232e-11
GO:0019079	3.35280353332499e-11
GO:0010948	4.16356142237078e-11
GO:0019221	6.32014113029417e-11
GO:0007052	7.11405868941507e-11
GO:0045071	7.93106083478024e-11
GO:0001819	9.08364051551707e-11
GO:0032103	9.08364051551707e-11
GO:1901987	1.18042280685126e-10
GO:0045069	1.46919629088825e-10
GO:0051301	1.54394143304745e-10
GO:0000819	2.13644774911665e-10
GO:1901988	2.28618233873921e-10
GO:0045088	2.31780305618398e-10
GO:0007346	2.79633612660036e-10
GO:0031349	6.43104345043776e-10
GO:1901990	7.15485176486648e-10
GO:0044403	1.4086271934254e-09
GO:0000280	1.91820230012273e-09
GO:0006914	2.08156022955972e-09
GO:0061919	2.08156022955972e-09
GO:0050778	2.08483464289715e-09
GO:0000075	2.46435093820163e-09
GO:0002443	3.25356389130618e-09
GO:0050865	4.66452648526336e-09
GO:0098813	4.91667279179155e-09
GO:1901991	5.47104550556227e-09
GO:0002460	5.72459475368001e-09
GO:1902850	6.66509934442849e-09
GO:0002449	6.95807906563975e-09
GO:0022613	8.52707389156819e-09
GO:0033044	1.25708362218679e-08
GO:0043068	1.69582059759542e-08
GO:0002833	1.95821769716101e-08
GO:2001251	2.16568469447916e-08
GO:0045786	2.32240680912186e-08
GO:0048285	2.97241658958601e-08
GO:0006260	3.23561128739035e-08
GO:0002694	4.45333677894988e-08
GO:1905818	4.91698939434808e-08
GO:0045089	6.10734733066115e-08
GO:0097190	6.83323011275332e-08
GO:0051983	7.09642958361793e-08
GO:0043065	7.71709800707469e-08
GO:0051304	7.80211946327341e-08
GO:0046631	8.47690690384179e-08
GO:0002521	8.47690690384179e-08
GO:1903131	8.97105938534478e-08
GO:0050863	1.12393760051094e-07
GO:0140694	1.50529369440258e-07
GO:0050867	1.53612588918112e-07
GO:0007088	2.02942738213202e-07
GO:0051249	2.47807711971454e-07
GO:0051701	2.47807711971454e-07
GO:0002697	2.62795630596397e-07
GO:0007093	2.67771007680526e-07
GO:0007159	2.69228012263109e-07
GO:0042254	2.97794555090968e-07
GO:0033047	2.99276062031192e-07
GO:0045930	3.70131573991911e-07
GO:0051784	3.74483327002436e-07
GO:0002253	3.83865051740729e-07
GO:0055086	4.2462531468101e-07
GO:0045839	4.9735142076667e-07
GO:0002753	5.26701083091904e-07
GO:0010965	5.28388009668357e-07
GO:0051306	5.55899754617949e-07
GO:0033046	5.61645836559915e-07
GO:0033048	5.61645836559915e-07
GO:0045841	5.61645836559915e-07
GO:2000816	5.61645836559915e-07
GO:0051098	5.61645836559915e-07
GO:0006753	5.66024256193032e-07
GO:0030098	5.84516128838581e-07
GO:0051985	6.22263847165101e-07
GO:0002221	6.22543678602674e-07
GO:0140888	6.37577051947864e-07
GO:0002757	7.02425968369365e-07
GO:0035710	7.33255961489251e-07
GO:0007094	7.7996831685887e-07
GO:0071173	7.7996831685887e-07
GO:0071174	7.7996831685887e-07
GO:0051310	7.7996831685887e-07
GO:0002718	7.81183228888054e-07
GO:0043632	8.41628309285786e-07
GO:0002764	9.69911580138507e-07
GO:0010498	9.91089292501599e-07
GO:0002367	1.04281871369839e-06
GO:0051783	1.07434627998362e-06
GO:0030099	1.10141155807643e-06
GO:0002218	1.10503604366185e-06
GO:0072331	1.14651949669973e-06
GO:0042098	1.25958900186618e-06
GO:0031577	1.29515592136275e-06
GO:0034340	1.38227001439302e-06
GO:1902100	1.42631395298891e-06
GO:1905819	1.42631395298891e-06
GO:0034976	1.56591632607009e-06
GO:0046718	1.74293706579177e-06
GO:0097193	1.84239367206782e-06
GO:0019941	1.84239367206782e-06
GO:0051225	2.09785887593176e-06
GO:0045862	2.12458958462441e-06
GO:0032943	2.26059450859474e-06
GO:0002696	2.42103451031278e-06
GO:0006511	2.42383528666588e-06
GO:0044409	2.42829861882232e-06
GO:0042176	2.80750952257144e-06
GO:0002758	2.90779887002432e-06
GO:0000226	2.90779887002432e-06
GO:1903039	3.08481750257547e-06
GO:0006281	3.15124221112351e-06
GO:0010639	3.16442652668659e-06
GO:0002720	3.18498381015547e-06
GO:0030217	3.18498381015547e-06
GO:0046651	4.00604647031055e-06
GO:0002440	4.48938876847998e-06
GO:0071357	4.57966577673454e-06
GO:0002819	4.62382259047042e-06
GO:0042542	4.6296048029865e-06
GO:0046632	5.06475559714166e-06
GO:0001909	5.12006279931912e-06
GO:0050000	5.46728780085473e-06
GO:0010506	5.57438315964804e-06
GO:0043123	5.82238333519818e-06
GO:0002699	6.35706754479634e-06
GO:0009617	6.3996418136618e-06
GO:0002181	6.7963334751008e-06
GO:0002683	6.7963334751008e-06
GO:1903037	8.52151800871936e-06
GO:0045785	8.52821565715928e-06
GO:0080135	9.5046027655261e-06
GO:0000082	9.5046027655261e-06
GO:0060337	9.51011927147982e-06
GO:0051303	1.00028297677298e-05
GO:0006979	1.09053597250829e-05
GO:0016567	1.10627390652861e-05
GO:0032496	1.11193698746796e-05
GO:0000725	1.13978096273112e-05
GO:0022409	1.26551151221997e-05
GO:0002237	1.27538356196793e-05
GO:0051984	1.28506021328956e-05
GO:0031329	1.30286407871499e-05
GO:0001906	1.33395679053126e-05
GO:0090068	1.42517067250186e-05
GO:0051129	1.45849312354749e-05
GO:0002703	1.48856631111877e-05
GO:0030071	1.48856631111877e-05
GO:0002456	1.51090314940743e-05
GO:0061515	1.62766875732823e-05
GO:0070661	1.64705116516777e-05
GO:0002274	1.65466084934472e-05
GO:0043161	1.68521049419818e-05
GO:0044843	1.70691480372551e-05
GO:0002822	1.8104836328059e-05
GO:0030522	2.10954238361249e-05
GO:0051251	2.16710006438716e-05
GO:1902105	2.16710006438716e-05
GO:0072655	2.17003139351076e-05
GO:0033045	2.32680687261703e-05
GO:0051640	2.41715690085518e-05
GO:0034341	2.42322428872761e-05
GO:0046634	2.42322428872761e-05
GO:0071887	2.42322428872761e-05
GO:0009117	2.60018680359457e-05
GO:0070585	2.72954008896588e-05
GO:0035456	2.9886031133963e-05
GO:0000724	3.00027177733123e-05
GO:0032388	3.01623445278713e-05
GO:0043254	3.01623445278713e-05
GO:0008608	3.01623445278713e-05
GO:0050777	3.08965023805602e-05
GO:0022407	3.13242191293405e-05
GO:0050870	3.16370885542668e-05
GO:0008630	3.31275358307314e-05
GO:1902099	3.4830319208838e-05
GO:0032944	3.49364159643679e-05
GO:0070301	3.94403419881352e-05
GO:0002698	4.4324446566075e-05
GO:0002832	4.4324446566075e-05
GO:0016072	4.51326171201909e-05
GO:0007091	4.65486773220398e-05
